2025-12-03 13:15:21,ATM=25950,CallOI=656281,PutOI=554473,TotalOI=1210754,Diff=-101808,PCR=0.845,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:16:17,ATM=25950,CallOI=656281,PutOI=554473,TotalOI=1210754,Diff=-101808,PCR=0.845,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:17:22,ATM=25950,CallOI=656958,PutOI=554056,TotalOI=1211014,Diff=-102902,PCR=0.843,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:18:18,ATM=25950,CallOI=656958,PutOI=554056,TotalOI=1211014,Diff=-102902,PCR=0.843,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:19:24,ATM=25950,CallOI=653603,PutOI=553586,TotalOI=1207189,Diff=-100017,PCR=0.847,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:20:19,ATM=25950,CallOI=653603,PutOI=553586,TotalOI=1207189,Diff=-100017,PCR=0.847,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:21:25,ATM=25950,CallOI=653603,PutOI=553586,TotalOI=1207189,Diff=-100017,PCR=0.847,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:22:21,ATM=25950,CallOI=650449,PutOI=562026,TotalOI=1212475,Diff=-88423,PCR=0.864,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:23:27,ATM=25950,CallOI=650449,PutOI=562026,TotalOI=1212475,Diff=-88423,PCR=0.864,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:24:22,ATM=25950,CallOI=650449,PutOI=562026,TotalOI=1212475,Diff=-88423,PCR=0.864,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:25:28,ATM=25950,CallOI=650449,PutOI=562026,TotalOI=1212475,Diff=-88423,PCR=0.864,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:26:24,ATM=25950,CallOI=649958,PutOI=563382,TotalOI=1213340,Diff=-86576,PCR=0.867,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:03:36,ATM=25900,CallOI=506845,PutOI=523793,TotalOI=1030638,Diff=16948,PCR=1.033,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:04:27,ATM=25900,CallOI=506845,PutOI=523793,TotalOI=1030638,Diff=16948,PCR=1.033,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:05:37,ATM=25900,CallOI=506845,PutOI=523793,TotalOI=1030638,Diff=16948,PCR=1.033,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:06:28,ATM=25900,CallOI=500870,PutOI=532392,TotalOI=1033262,Diff=31522,PCR=1.063,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:07:39,ATM=25950,CallOI=663442,PutOI=541357,TotalOI=1204799,Diff=-122085,PCR=0.816,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:08:29,ATM=25950,CallOI=663442,PutOI=541357,TotalOI=1204799,Diff=-122085,PCR=0.816,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:09:40,ATM=25950,CallOI=661224,PutOI=519801,TotalOI=1181025,Diff=-141423,PCR=0.786,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:10:31,ATM=25950,CallOI=661224,PutOI=519801,TotalOI=1181025,Diff=-141423,PCR=0.786,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:11:41,ATM=25950,CallOI=661224,PutOI=519801,TotalOI=1181025,Diff=-141423,PCR=0.786,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:12:32,ATM=25950,CallOI=660808,PutOI=517473,TotalOI=1178281,Diff=-143335,PCR=0.783,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:13:42,ATM=25950,CallOI=659538,PutOI=511305,TotalOI=1170843,Diff=-148233,PCR=0.775,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:14:33,ATM=25950,CallOI=659538,PutOI=511305,TotalOI=1170843,Diff=-148233,PCR=0.775,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:15:44,ATM=25950,CallOI=653915,PutOI=525587,TotalOI=1179502,Diff=-128328,PCR=0.804,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:16:34,ATM=25950,CallOI=653567,PutOI=529646,TotalOI=1183213,Diff=-123921,PCR=0.810,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:17:45,ATM=25950,CallOI=639337,PutOI=534937,TotalOI=1174274,Diff=-104400,PCR=0.837,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:18:36,ATM=25950,CallOI=639337,PutOI=534937,TotalOI=1174274,Diff=-104400,PCR=0.837,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:19:46,ATM=25950,CallOI=630518,PutOI=542594,TotalOI=1173112,Diff=-87924,PCR=0.861,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:20:37,ATM=25950,CallOI=630518,PutOI=542594,TotalOI=1173112,Diff=-87924,PCR=0.861,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:21:47,ATM=25950,CallOI=630518,PutOI=542594,TotalOI=1173112,Diff=-87924,PCR=0.861,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:22:39,ATM=25950,CallOI=630518,PutOI=542594,TotalOI=1173112,Diff=-87924,PCR=0.861,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:23:50,ATM=25950,CallOI=625834,PutOI=549132,TotalOI=1174966,Diff=-76702,PCR=0.877,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:24:40,ATM=25950,CallOI=625834,PutOI=549132,TotalOI=1174966,Diff=-76702,PCR=0.877,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:25:51,ATM=25950,CallOI=625834,PutOI=549132,TotalOI=1174966,Diff=-76702,PCR=0.877,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:26:42,ATM=25950,CallOI=625834,PutOI=549132,TotalOI=1174966,Diff=-76702,PCR=0.877,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:27:52,ATM=25950,CallOI=624934,PutOI=553359,TotalOI=1178293,Diff=-71575,PCR=0.885,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:28:43,ATM=25950,CallOI=624934,PutOI=553359,TotalOI=1178293,Diff=-71575,PCR=0.885,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:32:07,ATM=25900,CallOI=452423,PutOI=547639,TotalOI=1000062,Diff=95216,PCR=1.210,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:32:53,ATM=25900,CallOI=452423,PutOI=547639,TotalOI=1000062,Diff=95216,PCR=1.210,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:34:08,ATM=25950,CallOI=604259,PutOI=556450,TotalOI=1160709,Diff=-47809,PCR=0.921,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:34:55,ATM=25950,CallOI=608583,PutOI=546040,TotalOI=1154623,Diff=-62543,PCR=0.897,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:36:10,ATM=25950,CallOI=608583,PutOI=546040,TotalOI=1154623,Diff=-62543,PCR=0.897,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:36:56,ATM=25950,CallOI=608583,PutOI=546040,TotalOI=1154623,Diff=-62543,PCR=0.897,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:38:11,ATM=25950,CallOI=608583,PutOI=546040,TotalOI=1154623,Diff=-62543,PCR=0.897,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:38:58,ATM=25950,CallOI=608583,PutOI=546040,TotalOI=1154623,Diff=-62543,PCR=0.897,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:40:12,ATM=25950,CallOI=607689,PutOI=541261,TotalOI=1148950,Diff=-66428,PCR=0.891,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:40:59,ATM=25950,CallOI=607689,PutOI=541261,TotalOI=1148950,Diff=-66428,PCR=0.891,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:42:14,ATM=25950,CallOI=610690,PutOI=536903,TotalOI=1147593,Diff=-73787,PCR=0.879,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:43:01,ATM=25950,CallOI=610690,PutOI=536903,TotalOI=1147593,Diff=-73787,PCR=0.879,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:44:17,ATM=25950,CallOI=610690,PutOI=536903,TotalOI=1147593,Diff=-73787,PCR=0.879,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:45:02,ATM=25950,CallOI=610690,PutOI=536903,TotalOI=1147593,Diff=-73787,PCR=0.879,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:46:18,ATM=25950,CallOI=609284,PutOI=525256,TotalOI=1134540,Diff=-84028,PCR=0.862,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:47:04,ATM=25950,CallOI=609284,PutOI=525256,TotalOI=1134540,Diff=-84028,PCR=0.862,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:48:19,ATM=25950,CallOI=608364,PutOI=515676,TotalOI=1124040,Diff=-92688,PCR=0.848,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:49:05,ATM=25950,CallOI=608364,PutOI=515676,TotalOI=1124040,Diff=-92688,PCR=0.848,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:50:20,ATM=25950,CallOI=608364,PutOI=515676,TotalOI=1124040,Diff=-92688,PCR=0.848,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:51:06,ATM=25950,CallOI=608364,PutOI=515676,TotalOI=1124040,Diff=-92688,PCR=0.848,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:52:22,ATM=25950,CallOI=598739,PutOI=513916,TotalOI=1112655,Diff=-84823,PCR=0.858,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:53:07,ATM=25950,CallOI=598739,PutOI=513916,TotalOI=1112655,Diff=-84823,PCR=0.858,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:54:23,ATM=25950,CallOI=595710,PutOI=508959,TotalOI=1104669,Diff=-86751,PCR=0.854,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:55:09,ATM=25950,CallOI=595710,PutOI=508959,TotalOI=1104669,Diff=-86751,PCR=0.854,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:56:25,ATM=25950,CallOI=595710,PutOI=508959,TotalOI=1104669,Diff=-86751,PCR=0.854,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:57:10,ATM=25950,CallOI=595710,PutOI=508959,TotalOI=1104669,Diff=-86751,PCR=0.854,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:58:27,ATM=25950,CallOI=587170,PutOI=504151,TotalOI=1091321,Diff=-83019,PCR=0.859,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 14:59:12,ATM=25950,CallOI=587170,PutOI=504151,TotalOI=1091321,Diff=-83019,PCR=0.859,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:00:29,ATM=25950,CallOI=574090,PutOI=509084,TotalOI=1083174,Diff=-65006,PCR=0.887,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:01:13,ATM=25950,CallOI=574090,PutOI=509084,TotalOI=1083174,Diff=-65006,PCR=0.887,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:02:30,ATM=26000,CallOI=622192,PutOI=446188,TotalOI=1068380,Diff=-176004,PCR=0.717,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:03:15,ATM=25950,CallOI=574090,PutOI=509084,TotalOI=1083174,Diff=-65006,PCR=0.887,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:04:32,ATM=26000,CallOI=622192,PutOI=446188,TotalOI=1068380,Diff=-176004,PCR=0.717,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:05:17,ATM=25950,CallOI=545175,PutOI=506538,TotalOI=1051713,Diff=-38637,PCR=0.929,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:06:33,ATM=25950,CallOI=521036,PutOI=507841,TotalOI=1028877,Diff=-13195,PCR=0.975,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:07:19,ATM=25950,CallOI=521036,PutOI=507841,TotalOI=1028877,Diff=-13195,PCR=0.975,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:08:36,ATM=25950,CallOI=521036,PutOI=507841,TotalOI=1028877,Diff=-13195,PCR=0.975,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:09:20,ATM=26000,CallOI=572136,PutOI=440500,TotalOI=1012636,Diff=-131636,PCR=0.770,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:10:36,ATM=26000,CallOI=572136,PutOI=440500,TotalOI=1012636,Diff=-131636,PCR=0.770,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:11:21,ATM=26000,CallOI=572136,PutOI=440500,TotalOI=1012636,Diff=-131636,PCR=0.770,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:12:38,ATM=26000,CallOI=562557,PutOI=432179,TotalOI=994736,Diff=-130378,PCR=0.768,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:13:22,ATM=26000,CallOI=562557,PutOI=432179,TotalOI=994736,Diff=-130378,PCR=0.768,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:14:40,ATM=26000,CallOI=562557,PutOI=432179,TotalOI=994736,Diff=-130378,PCR=0.768,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:15:25,ATM=26000,CallOI=562557,PutOI=432179,TotalOI=994736,Diff=-130378,PCR=0.768,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:16:46,ATM=26000,CallOI=518157,PutOI=417525,TotalOI=935682,Diff=-100632,PCR=0.806,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:17:28,ATM=26000,CallOI=488687,PutOI=418674,TotalOI=907361,Diff=-70013,PCR=0.857,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:18:46,ATM=26000,CallOI=488687,PutOI=418674,TotalOI=907361,Diff=-70013,PCR=0.857,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 15:19:30,ATM=26000,CallOI=488687,PutOI=418674,TotalOI=907361,Diff=-70013,PCR=0.857,Sentiment=Neutral,ML=None,ML_prob=0.000
